minute_bin,direction,motor_speed,voltage_std,sample_count,angle_mean,material,grouped_speed
1,Increasing,1.0,0.005543766917897992,12000,32.43242424242424,acetal,1
2,Increasing,1.0,0.005529328212114055,12002,31.21225,acetal,1
3,Increasing,1.0,0.007311272734386474,12000,32.357948717948716,acetal,1
4,Increasing,1.0,0.00982687301966936,12000,31.681818181818183,acetal,1
5,Increasing,1.0,0.013012595113105988,11998,31.244999999999997,acetal,1
6,Increasing,6.0,0.019433304436154288,11918,32.90880952380952,acetal,6
7,Increasing,6.0,0.028888442357953827,11998,32.9116,acetal,6
8,Increasing,6.0,0.03745407206459713,12002,32.655,acetal,6
9,Increasing,6.0,0.045649292682969064,11998,32.37382716049383,acetal,6
10,Increasing,6.0,0.05150146606471217,12000,32.314303797468355,acetal,6
11,Increasing,11.0,0.058219106600481026,11818,34.78612903225807,acetal,11
12,Increasing,11.0,0.06183221769310752,12002,35.42329268292683,acetal,11
13,Increasing,11.0,0.06402674797721997,11998,35.86218390804597,acetal,11
14,Increasing,11.0,0.0647231850184755,12000,35.88468085106383,acetal,11
15,Increasing,11.0,0.06470800870155158,12000,36.608777777777775,acetal,11
16,Increasing,16.0,0.062395164953338515,11724,39.727391304347826,acetal,16
17,Increasing,16.0,0.06099248293867004,12000,39.834700854700856,acetal,16
18,Increasing,16.0,0.05986961106315631,12002,40.291320754716985,acetal,16
19,Increasing,16.0,0.059521055444020025,12000,40.577000000000005,acetal,16
20,Increasing,16.0,0.05832513273478139,12000,41.000654205607475,acetal,16
21,Increasing,21.0,0.058409336525097645,11646,43.17627118644068,acetal,21
22,Increasing,21.0,0.05645211939072964,11998,43.507894736842104,acetal,21
23,Increasing,21.0,0.055435496374171854,11998,43.8636974789916,acetal,21
24,Increasing,21.0,0.055845450939252354,12004,44.28551724137931,acetal,21
25,Increasing,21.0,0.056277251092357754,11996,44.623688524590165,acetal,21
26,Increasing,26.0,0.0542729922740724,11562,47.35904,acetal,26
27,Increasing,26.0,0.05234549165739017,12000,47.42692913385827,acetal,26
28,Increasing,26.0,0.05210987975473113,12000,47.555433070866144,acetal,26
29,Increasing,26.0,0.05223251838676474,12002,48.133609022556385,acetal,26
30,Increasing,26.0,0.051464627902018355,11998,48.12566176470588,acetal,26
31,Decreasing,26.0,0.05197415379876103,11466,48.71032,acetal,26
32,Decreasing,26.0,0.05181352036109874,12002,48.851023622047244,acetal,26
33,Decreasing,26.0,0.052112220767873946,11998,49.50893442622951,acetal,26
34,Decreasing,26.0,0.05206379764767661,12002,50.14604838709677,acetal,26
