minute_bin,direction,motor_speed,voltage_std,sample_count,angle_mean,material,grouped_speed
1,Increasing,1.0,0.0007083547678903363,12002,34.908055555555556,acrylic,1
2,Increasing,1.0,0.0006153711351300669,12000,34.950540540540544,acrylic,1
3,Increasing,1.0,0.0010917842746460446,11996,36.14888888888889,acrylic,1
4,Increasing,1.0,0.0012283499780524094,12004,33.882,acrylic,1
5,Increasing,1.0,0.001891221810099118,12000,34.714814814814815,acrylic,1
6,Increasing,6.0,0.0023891869173700976,11934,34.6809009009009,acrylic,6
7,Increasing,6.0,0.0032192744897756626,12004,34.58175925925926,acrylic,6
8,Increasing,6.0,0.00393592476914776,11998,34.875544554455445,acrylic,6
9,Increasing,6.0,0.004416553787344014,12002,34.45285714285714,acrylic,6
10,Increasing,6.0,0.004713257457161468,11998,34.95454545454545,acrylic,6
11,Increasing,11.0,0.0051869789197553145,11858,37.40368421052632,acrylic,11
12,Increasing,11.0,0.0063114274192345885,12000,37.4403738317757,acrylic,11
13,Increasing,11.0,0.0074098399773455574,12002,37.07702702702703,acrylic,11
14,Increasing,11.0,0.007974375497913626,11998,37.20561403508771,acrylic,11
15,Increasing,11.0,0.008822596852848743,12000,37.247927927927925,acrylic,11
16,Increasing,16.0,0.009911092170021316,11778,39.25114754098361,acrylic,16
17,Increasing,16.0,0.011372228398276427,12000,39.155078125,acrylic,16
18,Increasing,16.0,0.012723160504315132,11998,39.36,acrylic,16
19,Increasing,16.0,0.01380298985532051,12004,39.29113821138212,acrylic,16
20,Increasing,16.0,0.015025767613657502,12000,39.226484375,acrylic,16
21,Increasing,21.0,0.015438541019275467,11694,41.3276119402985,acrylic,21
22,Increasing,21.0,0.01676731211898077,11998,41.58888888888889,acrylic,21
23,Increasing,21.0,0.018224202371925114,12000,41.429926470588235,acrylic,21
24,Increasing,21.0,0.01903962175191783,12002,41.46584615384616,acrylic,21
25,Increasing,21.0,0.02028776582092011,11998,41.49343065693431,acrylic,21
26,Increasing,26.0,0.02069339392343567,11614,43.712482269503546,acrylic,26
27,Increasing,26.0,0.021865207071356474,11998,43.81216216216216,acrylic,26
28,Increasing,26.0,0.022872989397197546,12002,43.89263157894737,acrylic,26
29,Increasing,26.0,0.023919185835493722,11998,43.96109677419355,acrylic,26
30,Increasing,26.0,0.024829726173501824,12002,44.27018292682927,acrylic,26
31,Decreasing,26.0,0.025721347263349254,11530,44.56510067114094,acrylic,26
32,Decreasing,26.0,0.026397061064398403,12002,45.14183006535948,acrylic,26
33,Decreasing,26.0,0.026919389141085066,12000,44.99445121951219,acrylic,26
34,Decreasing,26.0,0.027472005612980473,12000,45.32659574468085,acrylic,26
35,Decreasing,26.0,0.02827647064127113,12000,45.53337748344371,acrylic,26
36,Decreasing,21.0,0.02953387819419248,11452,43.5745390070922,acrylic,21
37,Decreasing,21.0,0.029508774035010038,11998,43.869849624060144,acrylic,21
38,Decreasing,21.0,0.029876925186866535,12000,44.06814814814815,acrylic,21
39,Decreasing,21.0,0.030111037548547204,12002,44.04313333333334,acrylic,21
40,Decreasing,21.0,0.03020581112748273,11998,44.33418918918919,acrylic,21
41,Decreasing,16.0,0.031133429423417524,11376,41.909112903225804,acrylic,16
42,Decreasing,16.0,0.031513476772000205,12000,42.14666666666667,acrylic,16
43,Decreasing,16.0,0.03163033797274001,12002,42.34787878787879,acrylic,16
44,Decreasing,16.0,0.03195227653692092,11998,42.43047619047619,acrylic,16
45,Decreasing,16.0,0.03188702252733293,12002,42.65489051094891,acrylic,16
46,Decreasing,11.0,0.03339850759994496,11302,39.520427350427354,acrylic,11
47,Decreasing,11.0,0.03406889512780556,12002,39.683934426229506,acrylic,11
48,Decreasing,11.0,0.03341938903419455,11998,39.930095238095234,acrylic,11
49,Decreasing,11.0,0.033942094718487116,12002,39.803671875,acrylic,11
50,Decreasing,11.0,0.03381347911514985,12000,39.73643939393939,acrylic,11
51,Decreasing,6.0,0.03569418135168728,11232,35.94731182795699,acrylic,6
52,Decreasing,6.0,0.035859737303222575,11998,35.71811320754717,acrylic,6
53,Decreasing,6.0,0.035753523918787805,12000,35.60903846153846,acrylic,6
54,Decreasing,6.0,0.03588233004100153,11998,35.99467889908257,acrylic,6
55,Decreasing,6.0,0.03600312590045761,12002,35.2880701754386,acrylic,6
56,Decreasing,1.0,0.037743006203937085,11152,28.543409090909094,acrylic,1
57,Decreasing,1.0,0.0374680423790554,12002,28.381379310344826,acrylic,1
58,Decreasing,1.0,0.03722350680477349,11998,28.389166666666668,acrylic,1
59,Decreasing,1.0,0.03700061196543063,12002,28.23380434782609,acrylic,1
60,Decreasing,1.0,0.035753831322981745,12000,28.666276595744684,acrylic,1
1,Increasing,1.0,0.0007873016691893214,12000,32.75825,acrylic,1
2,Increasing,1.0,0.0004894206140232619,11998,32.49704545454546,acrylic,1
3,Increasing,1.0,0.000446647860231478,12000,31.656999999999996,acrylic,1
4,Increasing,1.0,0.00046097941701675737,11998,32.72380952380953,acrylic,1
