direction,motor_speed,voltage_std,sample_count,t_avg,angle_mean,minute_bin,material,grouped_speed
Increasing,16.0,0.04350447306481099,12038,1765500497.5183601,36.312462686567166,4,teflon,16
Increasing,21.0,0.05089618519649622,12028,1765500557.6848404,39.88794117647059,5,teflon,21
Increasing,26.0,0.05498670529345205,12036,1765500617.8447366,43.18783783783784,6,teflon,26
Decreasing,1.0,0.03343292698334978,12046,1765502237.2239695,27.963384615384616,12,teflon,1
Decreasing,6.0,0.044852467454063585,12038,1765502177.0145192,31.841862745098037,11,teflon,6
Decreasing,11.0,0.05146658671804688,12026,1765502116.8540466,35.113941605839415,10,teflon,11
Decreasing,16.0,0.05538564134627044,12038,1765502056.6950688,38.05871621621621,9,teflon,16
Decreasing,21.0,0.057377679172036095,12022,1765501996.544665,41.32739130434783,8,teflon,21
Decreasing,26.0,0.058321852944331926,12026,1765501936.4255264,43.843293413173654,7,teflon,26
Increasing,1.0,0.004654174684135339,12028,1765501575.5228558,28.065116279069766,1,teflon,1
Increasing,6.0,0.010880581202022895,12040,1765501635.6933675,29.504948453608247,2,teflon,6
Increasing,11.0,0.02618205447366798,12026,1765501695.8575408,32.050849056603774,3,teflon,11
Increasing,16.0,0.04581530980848167,12026,1765501755.9866796,35.56164285714286,4,teflon,16
Increasing,21.0,0.05615004999429096,12032,1765501816.131178,40.358216560509554,5,teflon,21
Increasing,26.0,0.058144922690774876,12030,1765501876.285595,44.0603550295858,6,teflon,26
Decreasing,1.0,0.03962887954573379,12014,1765503386.4260101,28.830000000000002,12,teflon,1
Decreasing,6.0,0.05326463620191131,12040,1765503326.290898,33.177542372881355,11,teflon,6
Decreasing,11.0,0.05822703353961329,12032,1765503266.1105545,36.75554744525547,10,teflon,11
Decreasing,16.0,0.05909385189478063,12038,1765503205.935742,39.718116883116885,9,teflon,16
Decreasing,21.0,0.059942072968894165,12034,1765503145.7549725,42.54852564102564,8,teflon,21
Decreasing,26.0,0.06131936104816803,12032,1765503085.5904162,45.386562500000004,7,teflon,26
Increasing,1.0,0.0046155136998084515,12030,1765502724.474427,27.3190243902439,1,teflon,1
Increasing,6.0,0.012203390041738116,12044,1765502784.6591966,28.604699999999998,2,teflon,6
Increasing,11.0,0.029179260333784724,12046,1765502844.8847718,31.80018018018018,3,teflon,11
Increasing,16.0,0.05212101105844972,12028,1765502905.0692239,36.8808552631579,4,teflon,16
Increasing,21.0,0.06241309311403782,12038,1765502965.2352927,42.55648484848485,5,teflon,21
Increasing,26.0,0.06164634317898491,12036,1765503025.4195406,45.165590062111804,6,teflon,26
