minute_bin,direction,motor_speed,voltage_std,sample_count,angle_mean,material,grouped_speed
1,Increasing,1.0,0.006895294374421617,12002,32.390967741935484,acetal,1
2,Increasing,1.0,0.007053022401862926,11998,31.720285714285716,acetal,1
3,Increasing,1.0,0.008057088157120522,12002,32.00731707317073,acetal,1
4,Increasing,1.0,0.009025845553132177,12000,32.03391304347826,acetal,1
5,Increasing,1.0,0.010017528837892304,12000,32.255405405405405,acetal,1
6,Increasing,6.0,0.014256613222730032,11908,32.46909090909091,acetal,6
7,Increasing,6.0,0.019556171644047413,12002,33.16459459459459,acetal,6
8,Increasing,6.0,0.02492007754480489,11998,33.449438202247194,acetal,6
9,Increasing,6.0,0.029140323212181154,12002,35.04869047619048,acetal,6
10,Increasing,6.0,0.03248685799537814,12000,36.248625,acetal,6
11,Increasing,11.0,0.03337552896408662,11800,38.71313131313131,acetal,11
12,Increasing,11.0,0.034028519205190656,12000,38.820754716981135,acetal,11
13,Increasing,11.0,0.033507273402811316,11998,38.996534653465346,acetal,11
14,Increasing,11.0,0.033856657210010896,11998,38.84173469387755,acetal,11
15,Increasing,11.0,0.03302725960981019,12002,39.05323529411765,acetal,11
16,Increasing,16.0,0.030496587827066875,11704,40.530300000000004,acetal,16
17,Increasing,16.0,0.028459318622791628,12002,39.731683168316835,acetal,16
18,Increasing,16.0,0.02704269705048352,12000,39.58774193548387,acetal,16
19,Increasing,16.0,0.025937740500936154,12000,39.40505263157895,acetal,16
20,Increasing,16.0,0.024489550103750684,12002,39.19063829787234,acetal,16
21,Increasing,21.0,0.02315732863928235,11614,40.394845360824746,acetal,21
22,Increasing,21.0,0.022190245597507395,12002,40.07813725490196,acetal,21
23,Increasing,21.0,0.022106444259478025,11998,40.022233009708735,acetal,21
24,Increasing,21.0,0.021881875876872642,12002,40.172924528301884,acetal,21
25,Increasing,21.0,0.02147629257806256,11998,40.08890909090909,acetal,21
26,Increasing,26.0,0.020791501330731595,11514,41.81080357142857,acetal,26
27,Increasing,26.0,0.019823230699486903,11998,41.8782905982906,acetal,26
28,Increasing,26.0,0.01904453576865339,12002,41.92813559322034,acetal,26
29,Increasing,26.0,0.01873955103985776,12000,41.63368852459017,acetal,26
30,Increasing,26.0,0.018695083481442862,11998,42.13318584070797,acetal,26
31,Decreasing,26.0,0.018428869150952338,11412,42.204181818181816,acetal,26
32,Decreasing,26.0,0.018066051526578975,11998,42.30451327433628,acetal,26
33,Decreasing,26.0,0.018127364519780365,12002,42.55445454545454,acetal,26
34,Decreasing,26.0,0.01807620336535018,11998,42.22796460176991,acetal,26
35,Decreasing,26.0,0.017813334019335575,12002,42.72930434782609,acetal,26
36,Decreasing,21.0,0.01846299685753592,11308,41.394660194174755,acetal,21
