minute_bin,direction,motor_speed,voltage_std,sample_count,angle_mean,material,grouped_speed
1,Increasing,1.0,0.003578715009812359,11998,32.468857142857146,acetal,1
2,Increasing,6.0,0.008027907832583506,11968,32.789791666666666,acetal,6
3,Increasing,11.0,0.01659010480965111,11950,34.926086956521736,acetal,11
4,Increasing,16.0,0.02365052789004755,11876,37.346292134831465,acetal,16
5,Increasing,21.0,0.028209290089105735,11846,39.306697247706424,acetal,21
6,Increasing,26.0,0.029245312398242775,11808,41.47580357142857,acetal,26
7,Decreasing,26.0,0.030056712720719397,11766,41.7321052631579,acetal,26
8,Decreasing,21.0,0.03208252361849247,11724,40.338857142857144,acetal,21
9,Decreasing,16.0,0.03529743693244483,11684,39.33236363636364,acetal,16
10,Decreasing,11.0,0.0384523560416184,11642,37.95977777777778,acetal,11
11,Decreasing,6.0,0.04116557415781461,11604,35.72666666666667,acetal,6
12,Decreasing,1.0,0.04099016635671051,11564,33.15542857142857,acetal,1
1,Increasing,1.0,0.00523080012792202,12002,31.4265625,acetal,1
2,Increasing,6.0,0.011172924242655865,11966,32.118478260869566,acetal,6
3,Increasing,11.0,0.018331158356917652,11920,34.54188888888889,acetal,11
4,Increasing,16.0,0.02459684251091191,11902,37.116627906976746,acetal,16
5,Increasing,21.0,0.027949560759765155,11862,38.474845360824744,acetal,21
6,Increasing,26.0,0.028093825604772554,11832,40.54841584158416,acetal,26
7,Decreasing,26.0,0.02759740392003129,11798,40.6612380952381,acetal,26
8,Decreasing,21.0,0.029120114513612204,11768,39.361363636363635,acetal,21
9,Decreasing,16.0,0.031976877388335045,11736,38.11102803738318,acetal,16
10,Decreasing,11.0,0.035993911744436835,11698,36.3321686746988,acetal,11
11,Decreasing,6.0,0.038127213993395206,11650,35.43269841269841,acetal,6
12,Decreasing,1.0,0.03939078818981859,11600,32.18944444444444,acetal,1
1,Increasing,1.0,0.004535872458935413,12000,30.266153846153845,acetal,1
2,Increasing,6.0,0.009455116050102292,11968,32.17553191489362,acetal,6
3,Increasing,11.0,0.01765098017913253,11920,34.98461538461538,acetal,11
4,Increasing,16.0,0.023825967131647856,11886,37.208600000000004,acetal,16
5,Increasing,21.0,0.02760888368566199,11856,38.998130841121494,acetal,21
6,Increasing,26.0,0.027945481649699892,11832,40.688648648648645,acetal,26
7,Decreasing,26.0,0.02826790036310192,11802,40.77566371681416,acetal,26
8,Decreasing,21.0,0.030113612918769697,11776,39.61785714285715,acetal,21
9,Decreasing,16.0,0.033809154741994876,11746,38.29163043478261,acetal,16
10,Decreasing,11.0,0.03705402072444628,11698,36.58011904761905,acetal,11
11,Decreasing,6.0,0.03960459741604498,11684,34.716351351351356,acetal,6
12,Decreasing,1.0,0.03918021438566423,11642,32.64028571428572,acetal,1
1,Increasing,1.0,0.006003618416995204,11996,31.947441860465116,acrylic,1
2,Increasing,6.0,0.0036537414802790933,11966,34.70653225806451,acrylic,6
3,Increasing,11.0,0.00452499794521143,11938,37.761203007518795,acrylic,11
4,Increasing,16.0,0.006953845343253589,11896,40.55235294117647,acrylic,16
5,Increasing,21.0,0.009749533682311826,11854,42.244962406015034,acrylic,21
6,Increasing,26.0,0.013480475936237222,11826,44.62217948717949,acrylic,26
