index,timestamp,seq,ms,motor_angle_deg,motor_speed,CH0_volts,CH2_volts,CH3_volts,ellipse_angle_deg,ellipse_area_px2,frame_name,ch2_dv/dt,ch3_dv/dt,ch2_flag,ch3_flag
33,1760814912.8794725,99708,998602,0.0,1.0,-3.072000,0.001500,-0.000750,27.01,66124.5,1760814912833_frame_000003.jpg,-0.487500,-0.037500,False,False
34,1760814912.8851452,99709,998612,0.0,1.0,-3.072000,0.005250,0.000000,27.01,66124.5,1760814912833_frame_000003.jpg,0.375000,0.075000,False,False
35,1760814912.885947,99710,998622,0.0,1.0,-3.072000,0.000000,0.000375,27.01,66124.5,1760814912833_frame_000003.jpg,-0.525000,0.037500,False,False
36,1760814912.9038978,99711,998632,0.0,1.0,-3.072000,0.000000,0.000000,27.01,66124.5,1760814912833_frame_000003.jpg,0.000000,-0.037500,False,False
37,1760814912.9042063,99712,998642,0.0,1.0,-3.072000,0.002625,-0.001125,27.01,66124.5,1760814912833_frame_000003.jpg,0.262500,-0.112500,False,False
38,1760814912.912882,99713,998652,0.0,1.0,-3.072000,0.002625,0.001500,27.55,66086.0,1760814912833_frame_000003.jpg,0.000000,0.262500,False,False
39,1760814912.933304,99714,998662,0.0,1.0,-3.072000,0.004500,0.000000,27.55,66086.0,1760814912929_frame_000004.jpg,0.187500,-0.150000,False,False
40,1760814912.933504,99715,998672,0.0,1.0,-3.072000,0.003000,0.000000,27.55,66086.0,1760814912929_frame_000004.jpg,-0.150000,0.000000,False,False
41,1760814912.951065,99716,998682,0.0,1.0,-3.072000,-0.000375,-0.000375,27.55,66086.0,1760814912929_frame_000004.jpg,-0.337500,-0.037500,False,False
42,1760814912.9736662,99717,998692,0.0,1.0,-3.072000,0.006750,0.000750,27.55,66086.0,1760814912929_frame_000004.jpg,0.712500,0.112500,False,False
43,1760814912.9794433,99718,998702,0.0,1.0,-3.072000,0.006375,-0.000750,27.55,66086.0,1760814912929_frame_000004.jpg,-0.037500,-0.150000,False,False
44,1760814912.9803543,99719,998712,0.0,1.0,-3.072000,-0.002250,-0.000750,27.55,66086.0,1760814912929_frame_000004.jpg,-0.862500,0.000000,False,False
45,1760814912.9928412,99720,998722,0.0,1.0,-3.072000,0.003000,-0.000375,27.55,66086.0,1760814912929_frame_000004.jpg,0.525000,0.037500,False,False
46,1760814912.9930272,99721,998732,0.0,1.0,-3.072000,0.001500,0.000000,27.55,66086.0,1760814912929_frame_000004.jpg,-0.150000,0.037500,False,False
47,1760814913.0033221,99722,998742,0.0,1.0,-3.072000,0.001125,-0.000375,28.05,66068.0,1760814912929_frame_000004.jpg,-0.037500,-0.037500,False,False
48,1760814913.0229585,99723,998752,0.0,1.0,-3.072000,-0.001875,0.000000,28.05,66068.0,1760814913018_frame_000005.jpg,-0.300000,0.037500,False,False
49,1760814913.0231366,99724,998762,0.0,1.0,-3.072000,0.001125,-0.001125,28.05,66068.0,1760814913018_frame_000005.jpg,0.300000,-0.112500,False,False
50,1760814913.0386348,99725,998772,0.0,1.0,-3.072000,0.001125,0.000375,28.05,66068.0,1760814913018_frame_000005.jpg,0.000000,0.150000,False,False
51,1760814913.0625448,99726,998782,0.0,1.0,-3.072000,0.005625,0.000000,28.05,66068.0,1760814913018_frame_000005.jpg,0.450000,-0.037500,False,False
52,1760814913.0666487,99727,998792,0.0,1.0,-3.072000,0.000000,-0.002250,28.05,66068.0,1760814913018_frame_000005.jpg,-0.562500,-0.225000,False,False
53,1760814913.0759232,99728,998802,0.0,1.0,-3.072000,-0.000375,0.003000,28.05,66068.0,1760814913018_frame_000005.jpg,-0.037500,0.525000,False,False
54,1760814913.0841162,99729,998812,0.0,1.0,-3.072000,0.000375,0.003000,28.05,66068.0,1760814913018_frame_000005.jpg,0.075000,0.000000,False,False
55,1760814913.0847175,99730,998822,0.0,1.0,-3.072000,0.001875,0.001125,28.05,66068.0,1760814913018_frame_000005.jpg,0.150000,-0.187500,False,False
56,1760814913.0935638,99731,998832,0.0,1.0,-3.072000,0.005250,0.002625,28.75,66059.0,1760814913018_frame_000005.jpg,0.337500,0.150000,False,False
57,1760814913.1133573,99732,998842,0.0,1.0,-3.072000,0.000375,0.000750,28.75,66059.0,1760814913018_frame_000005.jpg,-0.487500,-0.187500,False,False
58,1760814913.113671,99733,998852,0.0,1.0,-3.072000,-0.000375,0.001125,28.75,66059.0,1760814913018_frame_000005.jpg,-0.075000,0.037500,False,False
59,1760814913.1229932,99734,998862,0.0,1.0,-3.072000,0.006000,0.000375,28.75,66059.0,1760814913115_frame_000006.jpg,0.637500,-0.075000,False,False
60,1760814913.1451132,99735,998872,0.0,1.0,-3.072000,0.004500,0.001125,28.75,66059.0,1760814913115_frame_000006.jpg,-0.150000,0.075000,False,False
61,1760814913.1471193,99736,998882,0.0,1.0,-3.072000,0.000000,0.000000,28.75,66059.0,1760814913115_frame_000006.jpg,-0.450000,-0.112500,False,False
62,1760814913.164682,99737,998892,0.0,1.0,-3.072000,0.004125,-0.001125,28.75,66059.0,1760814913115_frame_000006.jpg,0.412500,-0.112500,False,False
63,1760814913.1747959,99738,998902,0.0,1.0,-3.072000,0.003375,0.001500,28.75,66059.0,1760814913115_frame_000006.jpg,-0.075000,0.262500,False,False
